acronym,cutting_plane,Section_Data_ID,URL,entrez.id,homologous_human_ID
1110014N23Rik,sagittal,72081738,http://api.brain-map.org/grid_data/download/72081738?include=energy,68505,738
1110017D15Rik,sagittal,69174607,http://api.brain-map.org/grid_data/download/69174607?include=energy,73721,84688
1110018G07Rik,sagittal,69352914,http://api.brain-map.org/grid_data/download/69352914?include=energy,68497,9870
1110018J18Rik,sagittal,71764541,http://api.brain-map.org/grid_data/download/71764541?include=energy,66129,195827
1110020A21Rik,sagittal,71919104,http://api.brain-map.org/grid_data/download/71919104?include=energy,68531,NA
1110020C17Rik,sagittal,74300861,http://api.brain-map.org/grid_data/download/74300861?include=energy,68584,NA
1110031I02Rik,sagittal,69170306,http://api.brain-map.org/grid_data/download/69170306?include=energy,66179,79701
1110032A03Rik,sagittal,68631923,http://api.brain-map.org/grid_data/download/68631923?include=energy,68721,64776
1110032A04Rik,sagittal,68498540,http://api.brain-map.org/grid_data/download/68498540?include=energy,66183,165679
1110034A24Rik,sagittal,69838257,http://api.brain-map.org/grid_data/download/69838257?include=energy,109065,55172
1110034B05Rik,sagittal,71492766,http://api.brain-map.org/grid_data/download/71492766?include=energy,68736,129450
1110034B05Rik,sagittal,71023002,http://api.brain-map.org/grid_data/download/71023002?include=energy,68736,129450
1110034G24Rik,sagittal,70598380,http://api.brain-map.org/grid_data/download/70598380?include=energy,73747,149840
1110037F02Rik,coronal,74988462,http://api.brain-map.org/grid_data/download/74988462?include=energy,66185,25962
1110037F02Rik,sagittal,70445389,http://api.brain-map.org/grid_data/download/70445389?include=energy,66185,25962
1110038D17Rik,sagittal,70303737,http://api.brain-map.org/grid_data/download/70303737?include=energy,68778,83606
1110038F14Rik,sagittal,68546155,http://api.brain-map.org/grid_data/download/68546155?include=energy,117171,65265
1110049F12Rik,sagittal,71232582,http://api.brain-map.org/grid_data/download/71232582?include=energy,66193,57095
1110051M20Rik,sagittal,67936384,http://api.brain-map.org/grid_data/download/67936384?include=energy,228356,79096
1110054O05Rik,sagittal,71570752,http://api.brain-map.org/grid_data/download/71570752?include=energy,66209,58493
1110054O05Rik,sagittal,71160376,http://api.brain-map.org/grid_data/download/71160376?include=energy,66209,58493
1110057K04Rik,sagittal,69262259,http://api.brain-map.org/grid_data/download/69262259?include=energy,68832,60526
1110058L19Rik,sagittal,68441574,http://api.brain-map.org/grid_data/download/68441574?include=energy,68002,135154
1110059E24Rik,sagittal,71492778,http://api.brain-map.org/grid_data/download/71492778?include=energy,66206,138241
1110059G10Rik,sagittal,70445401,http://api.brain-map.org/grid_data/download/70445401?include=energy,66202,57456
1110059M19Rik,sagittal,71232593,http://api.brain-map.org/grid_data/download/71232593?include=energy,68800,100130613
1110065P20Rik,sagittal,71492790,http://api.brain-map.org/grid_data/download/71492790?include=energy,68920,NA
1110067D22Rik,sagittal,532758,http://api.brain-map.org/grid_data/download/532758?include=energy,216551,29094
1190002H23Rik,sagittal,69114097,http://api.brain-map.org/grid_data/download/69114097?include=energy,66214,28984
1190002N15Rik,sagittal,70598389,http://api.brain-map.org/grid_data/download/70598389?include=energy,68861,205428
1190002N15Rik,coronal,77332088,http://api.brain-map.org/grid_data/download/77332088?include=energy,68861,205428
1190003J15Rik,sagittal,68744038,http://api.brain-map.org/grid_data/download/68744038?include=energy,76974,NA
1190005F20Rik,sagittal,69133647,http://api.brain-map.org/grid_data/download/69133647?include=energy,98685,81627
1190005I06Rik,sagittal,68522472,http://api.brain-map.org/grid_data/download/68522472?include=energy,68918,404550
1190007F08Rik,sagittal,70946184,http://api.brain-map.org/grid_data/download/70946184?include=energy,68859,388588
1190007I07Rik,sagittal,74581116,http://api.brain-map.org/grid_data/download/74581116?include=energy,544717,728568
1190028D05Rik,sagittal,74581169,http://api.brain-map.org/grid_data/download/74581169?include=energy,330767,NA
1200007C13Rik,sagittal,70200902,http://api.brain-map.org/grid_data/download/70200902?include=energy,74119,NA
1200009I06Rik,sagittal,71492802,http://api.brain-map.org/grid_data/download/71492802?include=energy,74190,91828
1200011I18Rik,sagittal,77620421,http://api.brain-map.org/grid_data/download/77620421?include=energy,67467,55425
1200011I18Rik,coronal,77414569,http://api.brain-map.org/grid_data/download/77414569?include=energy,67467,55425
1200011M11Rik,sagittal,70474821,http://api.brain-map.org/grid_data/download/70474821?include=energy,74133,55181
1200014J11Rik,sagittal,69353176,http://api.brain-map.org/grid_data/download/69353176?include=energy,66874,55421
1200016B10Rik,sagittal,69014416,http://api.brain-map.org/grid_data/download/69014416?include=energy,66875,54823
1200016E24Rik,sagittal,1592,http://api.brain-map.org/grid_data/download/1592?include=energy,319202,NA
1200016E24Rik,coronal,1591,http://api.brain-map.org/grid_data/download/1591?include=energy,319202,NA
1300001I01Rik,sagittal,71380477,http://api.brain-map.org/grid_data/download/71380477?include=energy,74148,23277
1300002K09Rik,sagittal,74581140,http://api.brain-map.org/grid_data/download/74581140?include=energy,74152,NA
1300010F03Rik,sagittal,77799023,http://api.brain-map.org/grid_data/download/77799023?include=energy,219189,23078
1300010F03Rik,sagittal,70200920,http://api.brain-map.org/grid_data/download/70200920?include=energy,219189,23078
1300014I06Rik,sagittal,68191312,http://api.brain-map.org/grid_data/download/68191312?include=energy,66895,221749
1300015D01Rik,sagittal,71992116,http://api.brain-map.org/grid_data/download/71992116?include=energy,74161,NA
1300017J02Rik,sagittal,75828169,http://api.brain-map.org/grid_data/download/75828169?include=energy,71775,NA
1300018I17Rik,sagittal,68844624,http://api.brain-map.org/grid_data/download/68844624?include=energy,72325,9605
1300018J18Rik,sagittal,70200932,http://api.brain-map.org/grid_data/download/70200932?include=energy,223776,83642
1500001M20Rik,sagittal,70598393,http://api.brain-map.org/grid_data/download/70598393?include=energy,68971,132001
1500002O20Rik,coronal,1954,http://api.brain-map.org/grid_data/download/1954?include=energy,71997,56006
1500002O20Rik,sagittal,1955,http://api.brain-map.org/grid_data/download/1955?include=energy,71997,56006
1500003O03Rik,sagittal,71656674,http://api.brain-map.org/grid_data/download/71656674?include=energy,56398,11261
1500010J02Rik,sagittal,69015757,http://api.brain-map.org/grid_data/download/69015757?include=energy,68964,80169
1500010J02Rik,sagittal,70813263,http://api.brain-map.org/grid_data/download/70813263?include=energy,68964,80169
1500011B03Rik,sagittal,71212087,http://api.brain-map.org/grid_data/download/71212087?include=energy,66236,NA
1500011H22Rik,sagittal,70445413,http://api.brain-map.org/grid_data/download/70445413?include=energy,68948,29902
1500011K16Rik,sagittal,70598394,http://api.brain-map.org/grid_data/download/70598394?include=energy,67885,NA
1500012K07Rik,sagittal,71492832,http://api.brain-map.org/grid_data/download/71492832?include=energy,68954,NA
1500015L24Rik,sagittal,70598395,http://api.brain-map.org/grid_data/download/70598395?include=energy,68994,NA
1500015O10Rik,sagittal,70429477,http://api.brain-map.org/grid_data/download/70429477?include=energy,78896,84417
1500026H17Rik,sagittal,75934926,http://api.brain-map.org/grid_data/download/75934926?include=energy,69002,NA
1500031L02Rik,sagittal,68157411,http://api.brain-map.org/grid_data/download/68157411?include=energy,66994,84984
1500032L24Rik,coronal,75651168,http://api.brain-map.org/grid_data/download/75651168?include=energy,69029,91689
1500032L24Rik,sagittal,68523156,http://api.brain-map.org/grid_data/download/68523156?include=energy,69029,91689
1500035N22Rik,sagittal,74357785,http://api.brain-map.org/grid_data/download/74357785?include=energy,70258,NA
1520401A03Rik,sagittal,71492838,http://api.brain-map.org/grid_data/download/71492838?include=energy,320309,NA
1520402A15Rik,sagittal,71211671,http://api.brain-map.org/grid_data/download/71211671?include=energy,68075,541468
1600002D24Rik,sagittal,74581277,http://api.brain-map.org/grid_data/download/74581277?include=energy,69776,NA
1600002H07Rik,sagittal,69353299,http://api.brain-map.org/grid_data/download/69353299?include=energy,72016,80178
1600002K03Rik,sagittal,70200961,http://api.brain-map.org/grid_data/download/70200961?include=energy,69770,55009
1600012F09Rik,sagittal,69113602,http://api.brain-map.org/grid_data/download/69113602?include=energy,67008,57002
1600012H06Rik,sagittal,69353306,http://api.brain-map.org/grid_data/download/69353306?include=energy,67912,387263
1600012P17Rik,sagittal,70200982,http://api.brain-map.org/grid_data/download/70200982?include=energy,72025,NA
1600014C10Rik,sagittal,564749,http://api.brain-map.org/grid_data/download/564749?include=energy,72244,83636
1600014C23Rik,sagittal,70200996,http://api.brain-map.org/grid_data/download/70200996?include=energy,72240,NA
1600014K23Rik,sagittal,70201050,http://api.brain-map.org/grid_data/download/70201050?include=energy,71996,NA
1600016N20Rik,sagittal,74581271,http://api.brain-map.org/grid_data/download/74581271?include=energy,72000,256329
1600020E01Rik,sagittal,74581289,http://api.brain-map.org/grid_data/download/74581289?include=energy,72012,NA
1600021P15Rik,coronal,71924290,http://api.brain-map.org/grid_data/download/71924290?include=energy,239796,151963
1600021P15Rik,sagittal,70305269,http://api.brain-map.org/grid_data/download/70305269?include=energy,239796,151963
1600022D10Rik,sagittal,71570753,http://api.brain-map.org/grid_data/download/71570753?include=energy,73252,NA
1600025M17Rik,sagittal,74581253,http://api.brain-map.org/grid_data/download/74581253?include=energy,72030,NA
1600027N09Rik,sagittal,69353318,http://api.brain-map.org/grid_data/download/69353318?include=energy,73247,55257
1600027N09Rik,sagittal,71211446,http://api.brain-map.org/grid_data/download/71211446?include=energy,73247,55257
1600029D21Rik,sagittal,68342240,http://api.brain-map.org/grid_data/download/68342240?include=energy,76509,349633
1600029I14Rik,sagittal,71919212,http://api.brain-map.org/grid_data/download/71919212?include=energy,69797,NA
1600029O10Rik,sagittal,68445955,http://api.brain-map.org/grid_data/download/68445955?include=energy,547253,54625
1700001C02Rik,sagittal,69116871,http://api.brain-map.org/grid_data/download/69116871?include=energy,75434,339778
1700001C19Rik,sagittal,68442877,http://api.brain-map.org/grid_data/download/68442877?include=energy,75462,2978
1700001F09Rik,sagittal,69116733,http://api.brain-map.org/grid_data/download/69116733?include=energy,71826,NA
1700001G17Rik,sagittal,74581301,http://api.brain-map.org/grid_data/download/74581301?include=energy,67503,NA
1700001J03Rik,sagittal,75860912,http://api.brain-map.org/grid_data/download/75860912?include=energy,69282,NA
1700001K19Rik,sagittal,72081777,http://api.brain-map.org/grid_data/download/72081777?include=energy,66323,NA
1700001K23Rik,sagittal,74581247,http://api.brain-map.org/grid_data/download/74581247?include=energy,69319,NA
1700001L05Rik,sagittal,73870725,http://api.brain-map.org/grid_data/download/73870725?include=energy,69291,NA
1700001L19Rik,sagittal,69353511,http://api.brain-map.org/grid_data/download/69353511?include=energy,69315,134121
1700001O22Rik,sagittal,70474833,http://api.brain-map.org/grid_data/download/70474833?include=energy,73598,375759
1700001P01Rik,sagittal,69113799,http://api.brain-map.org/grid_data/download/69113799?include=energy,72215,388381
1700003E16Rik,sagittal,70303749,http://api.brain-map.org/grid_data/download/70303749?include=energy,71837,388963
1700003F12Rik,sagittal,74357797,http://api.brain-map.org/grid_data/download/74357797?include=energy,75480,NA
1700003H04Rik,sagittal,74581259,http://api.brain-map.org/grid_data/download/74581259?include=energy,384775,NA
1700003M02Rik,sagittal,68798097,http://api.brain-map.org/grid_data/download/68798097?include=energy,69329,154313
1700006A11Rik,sagittal,72471734,http://api.brain-map.org/grid_data/download/72471734?include=energy,71824,NA
1700006E09Rik,sagittal,71919242,http://api.brain-map.org/grid_data/download/71919242?include=energy,75437,284067
1700006J14Rik,sagittal,71919248,http://api.brain-map.org/grid_data/download/71919248?include=energy,321010,NA
1700007B14Rik,sagittal,71377906,http://api.brain-map.org/grid_data/download/71377906?include=energy,71831,285423
1700007G11Rik,sagittal,74427100,http://api.brain-map.org/grid_data/download/74427100?include=energy,75784,255119
1700007K09Rik,sagittal,70609147,http://api.brain-map.org/grid_data/download/70609147?include=energy,69318,NA
1700007K13Rik,sagittal,71492850,http://api.brain-map.org/grid_data/download/71492850?include=energy,69327,138162
1700008A04Rik,sagittal,74581331,http://api.brain-map.org/grid_data/download/74581331?include=energy,69351,644994
1700008F21Rik,sagittal,69116910,http://api.brain-map.org/grid_data/download/69116910?include=energy,75453,79741
1700008H02Rik,sagittal,71808618,http://api.brain-map.org/grid_data/download/71808618?include=energy,66325,NA
1700008I05Rik,sagittal,71919439,http://api.brain-map.org/grid_data/download/71919439?include=energy,71841,100996648
1700008O03Rik,sagittal,75934506,http://api.brain-map.org/grid_data/download/75934506?include=energy,69349,342918
1700008P02Rik,sagittal,71919421,http://api.brain-map.org/grid_data/download/71919421?include=energy,69347,NA
1700008P20Rik,sagittal,76081047,http://api.brain-map.org/grid_data/download/76081047?include=energy,69301,NA
1700009J07Rik,sagittal,69116978,http://api.brain-map.org/grid_data/download/69116978?include=energy,75188,NA
1700009N14Rik,sagittal,74822594,http://api.brain-map.org/grid_data/download/74822594?include=energy,75471,NA
1700009P17Rik,sagittal,69174064,http://api.brain-map.org/grid_data/download/69174064?include=energy,75472,257177
1700010B08Rik,sagittal,77799027,http://api.brain-map.org/grid_data/download/77799027?include=energy,75485,NA
1700010D01Rik,sagittal,69174451,http://api.brain-map.org/grid_data/download/69174451?include=energy,76386,NA
1700010H22Rik,sagittal,75934507,http://api.brain-map.org/grid_data/download/75934507?include=energy,75500,NA
1700010I14Rik,sagittal,69116763,http://api.brain-map.org/grid_data/download/69116763?include=energy,66931,168090
1700010L04Rik,sagittal,72081783,http://api.brain-map.org/grid_data/download/72081783?include=energy,619808,NA
1700010L13Rik,sagittal,74359521,http://api.brain-map.org/grid_data/download/74359521?include=energy,75628,NA
1700010M22Rik,sagittal,77799029,http://api.brain-map.org/grid_data/download/77799029?include=energy,66328,140856
1700010M22Rik,sagittal,70201223,http://api.brain-map.org/grid_data/download/70201223?include=energy,66328,140856
1700011A15Rik,sagittal,69114235,http://api.brain-map.org/grid_data/download/69114235?include=energy,66322,NA
1700011E24Rik,sagittal,72081659,http://api.brain-map.org/grid_data/download/72081659?include=energy,75467,285051
1700011F03Rik,sagittal,80474704,http://api.brain-map.org/grid_data/download/80474704?include=energy,74221,200523
1700011F14Rik,sagittal,69113859,http://api.brain-map.org/grid_data/download/69113859?include=energy,75645,374355
1700011H14Rik,sagittal,68499440,http://api.brain-map.org/grid_data/download/68499440?include=energy,67082,55195
1700011J10Rik,sagittal,74821754,http://api.brain-map.org/grid_data/download/74821754?include=energy,100503849,NA
1700011L22Rik,sagittal,71920135,http://api.brain-map.org/grid_data/download/71920135?include=energy,67687,646603
1700011M02Rik,sagittal,70201241,http://api.brain-map.org/grid_data/download/70201241?include=energy,75443,NA
1700012A16Rik,sagittal,100144861,http://api.brain-map.org/grid_data/download/100144861?include=energy,71836,81626
1700012B07Rik,sagittal,72472474,http://api.brain-map.org/grid_data/download/72472474?include=energy,69324,NA
1700012B09Rik,sagittal,70723626,http://api.brain-map.org/grid_data/download/70723626?include=energy,69325,643037
1700012B15Rik,sagittal,71919379,http://api.brain-map.org/grid_data/download/71919379?include=energy,74173,NA
1700012P22Rik,sagittal,71919403,http://api.brain-map.org/grid_data/download/71919403?include=energy,69364,93190
1700013D24Rik,sagittal,74581355,http://api.brain-map.org/grid_data/download/74581355?include=energy,76921,NA
1700013F07Rik,sagittal,70609149,http://api.brain-map.org/grid_data/download/70609149?include=energy,75504,127003
1700013F07Rik,sagittal,71211440,http://api.brain-map.org/grid_data/download/71211440?include=energy,75504,127003
1700013G24Rik,sagittal,70201259,http://api.brain-map.org/grid_data/download/70201259?include=energy,69380,NA
1700013H16Rik,sagittal,76081048,http://api.brain-map.org/grid_data/download/76081048?include=energy,75514,NA
1700013J13Rik*,sagittal,74357809,http://api.brain-map.org/grid_data/download/74357809?include=energy,NA,NA
1700014D04Rik,sagittal,76081049,http://api.brain-map.org/grid_data/download/76081049?include=energy,102638268,NA
1700014N06Rik,sagittal,69816404,http://api.brain-map.org/grid_data/download/69816404?include=energy,69389,286436
1700015E13Rik,sagittal,71380489,http://api.brain-map.org/grid_data/download/71380489?include=energy,76925,284680
1700015F17Rik,sagittal,73497699,http://api.brain-map.org/grid_data/download/73497699?include=energy,381716,102723899
1700016C15Rik,sagittal,70201277,http://api.brain-map.org/grid_data/download/70201277?include=energy,69428,200159
1700016D06Rik,sagittal,69114926,http://api.brain-map.org/grid_data/download/69114926?include=energy,76413,NA
1700016H13Rik,sagittal,74581337,http://api.brain-map.org/grid_data/download/74581337?include=energy,74218,132989
1700016K19Rik,sagittal,69114594,http://api.brain-map.org/grid_data/download/69114594?include=energy,74230,400566
1700016M24Rik,sagittal,70201283,http://api.brain-map.org/grid_data/download/70201283?include=energy,69439,NA
1700017B05Rik,sagittal,70201289,http://api.brain-map.org/grid_data/download/70201289?include=energy,74211,56905
1700017D01Rik,sagittal,71919481,http://api.brain-map.org/grid_data/download/71919481?include=energy,69369,NA
1700017G19Rik,sagittal,71919487,http://api.brain-map.org/grid_data/download/71919487?include=energy,100040882,NA
1700017N19Rik,sagittal,71919493,http://api.brain-map.org/grid_data/download/71919493?include=energy,66605,160419
1700018A04Rik,sagittal,74265249,http://api.brain-map.org/grid_data/download/74265249?include=energy,71307,NA
1700018A14Rik,sagittal,74357821,http://api.brain-map.org/grid_data/download/74357821?include=energy,69391,NA
1700018B08Rik,sagittal,71919499,http://api.brain-map.org/grid_data/download/71919499?include=energy,76405,100506581
1700018B24Rik,sagittal,70526062,http://api.brain-map.org/grid_data/download/70526062?include=energy,66332,NA
1700018C11Rik,sagittal,75851027,http://api.brain-map.org/grid_data/download/75851027?include=energy,75524,100505478
1700018L24Rik,sagittal,74634791,http://api.brain-map.org/grid_data/download/74634791?include=energy,75528,NA
1700019A02Rik,sagittal,74357839,http://api.brain-map.org/grid_data/download/74357839?include=energy,69397,NA
1700019B03Rik,sagittal,70525771,http://api.brain-map.org/grid_data/download/70525771?include=energy,76406,374877
1700019D03Rik,sagittal,70474845,http://api.brain-map.org/grid_data/download/70474845?include=energy,67080,84281
1700019E19Rik,sagittal,68920773,http://api.brain-map.org/grid_data/download/68920773?include=energy,76411,112752
1700019G17Rik,sagittal,76098404,http://api.brain-map.org/grid_data/download/76098404?include=energy,75541,NA
1700019J19Rik,sagittal,71919547,http://api.brain-map.org/grid_data/download/71919547?include=energy,76412,NA
1700019L03Rik,sagittal,69353587,http://api.brain-map.org/grid_data/download/69353587?include=energy,227736,286207
1700019M22Rik,sagittal,69113871,http://api.brain-map.org/grid_data/download/69113871?include=energy,69423,NA
1700019N12Rik,coronal,73718050,http://api.brain-map.org/grid_data/download/73718050?include=energy,67077,25858
1700019N12Rik,sagittal,69116853,http://api.brain-map.org/grid_data/download/69116853?include=energy,67077,25858
1700019N12Rik,sagittal,77924342,http://api.brain-map.org/grid_data/download/77924342?include=energy,67077,25858
1700019N12Rik,coronal,75233110,http://api.brain-map.org/grid_data/download/75233110?include=energy,67077,25858
1700019N19Rik,sagittal,69114465,http://api.brain-map.org/grid_data/download/69114465?include=energy,67507,143379
1700019O17Rik,sagittal,71377957,http://api.brain-map.org/grid_data/download/71377957?include=energy,71863,165100
1700020A23Rik,sagittal,71377976,http://api.brain-map.org/grid_data/download/71377976?include=energy,75656,128653
1700020D05Rik,sagittal,69353608,http://api.brain-map.org/grid_data/download/69353608?include=energy,75555,NA
1700020I14Rik,sagittal,71380495,http://api.brain-map.org/grid_data/download/71380495?include=energy,66602,NA
1700020L24Rik,sagittal,73818856,http://api.brain-map.org/grid_data/download/73818856?include=energy,66330,146853
1700020N01Rik,sagittal,69816410,http://api.brain-map.org/grid_data/download/69816410?include=energy,67692,NA
1700020N15Rik,sagittal,76081051,http://api.brain-map.org/grid_data/download/76081051?include=energy,75509,NA
1700020O03Rik,sagittal,69028671,http://api.brain-map.org/grid_data/download/69028671?include=energy,70373,55668
1700021A07Rik,sagittal,71377987,http://api.brain-map.org/grid_data/download/71377987?include=energy,76924,NA
1700021C14Rik,sagittal,74581364,http://api.brain-map.org/grid_data/download/74581364?include=energy,76927,128229
1700021F05Rik,sagittal,68341489,http://api.brain-map.org/grid_data/download/68341489?include=energy,67851,51250
1700021F07Rik,sagittal,74357845,http://api.brain-map.org/grid_data/download/74357845?include=energy,72221,128602
1700021K19Rik,sagittal,69353627,http://api.brain-map.org/grid_data/download/69353627?include=energy,100502698,9711
1700021O21Rik,sagittal,74357857,http://api.brain-map.org/grid_data/download/74357857?include=energy,75536,NA
1700021P04Rik,sagittal,71919535,http://api.brain-map.org/grid_data/download/71919535?include=energy,75521,NA
1700022A21Rik,sagittal,70723632,http://api.brain-map.org/grid_data/download/70723632?include=energy,72252,NA
